Processes: 2

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.15              0.10              0.20        1000
2                       0.15              0.09              0.21        1000
4                       0.15              0.09              0.20        1000
8                       0.15              0.09              0.20        1000
16                      0.15              0.09              0.21        1000
32                      0.15              0.09              0.21        1000
64                      0.15              0.09              0.21        1000
128                     0.21              0.14              0.27        1000
256                     0.21              0.15              0.28        1000
512                     0.22              0.15              0.29        1000
1024                    0.25              0.16              0.33        1000
2048                    0.30              0.19              0.41        1000
4096                    0.40              0.27              0.52        1000
8192                    0.56              0.41              0.72        1000
16384                   4.45              4.37              4.52        1000
32768                   5.09              5.02              5.16        1000
65536                   5.87              5.79              5.95        1000
131072                 10.22             10.21             10.23        1000
262144                 20.35             20.33             20.36        1000
524288                 42.07             42.04             42.09        1000
1048576                80.88             80.84             80.92        1000
====================
Processes: 4

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.15              0.15              0.16        1000
2                       0.16              0.15              0.16        1000
4                       0.15              0.15              0.16        1000
8                       0.16              0.15              0.16        1000
16                      0.15              0.15              0.16        1000
32                      0.16              0.15              0.16        1000
64                      0.15              0.15              0.16        1000
128                     0.30              0.21              0.35        1000
256                     0.30              0.22              0.35        1000
512                     0.35              0.23              0.42        1000
1024                    0.37              0.25              0.46        1000
2048                    0.50              0.33              0.62        1000
4096                    0.68              0.44              0.86        1000
8192                    1.08              0.67              1.38        1000
16384                   4.30              3.99              4.64        1000
32768                   5.29              4.89              5.66        1000
65536                   7.81              7.18              8.21        1000
131072                 13.37             12.55             13.88        1000
262144                 33.03             32.87             33.30        1000
524288                 74.04             73.87             74.24        1000
1048576               153.42            153.20            153.76        1000
====================
Processes: 8

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       0.79              0.41              1.12        1000
2                       0.78              0.39              1.12        1000
4                       0.78              0.41              1.12        1000
8                       0.78              0.40              1.09        1000
16                      0.77              0.39              1.10        1000
32                      0.85              0.42              1.22        1000
64                      0.84              0.45              1.16        1000
128                     1.15              0.53              1.58        1000
256                     1.22              0.61              1.69        1000
512                     1.32              0.63              1.85        1000
1024                    1.57              0.73              2.29        1000
2048                    2.08              0.97              3.07        1000
4096                    2.78              0.98              4.26        1000
8192                    4.34              1.38              6.67        1000
16384                   7.97              5.54             11.47        1000
32768                  11.64              7.73             17.62        1000
65536                  24.27             16.60             37.23        1000
131072                 50.10             34.94             71.88        1000
262144                 99.64             73.75            130.00        1000
524288                219.59            166.27            266.89        1000
1048576               399.90            271.44            495.81        1000
====================
Processes: 16

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       1.14              0.46              1.81        1000
2                       1.16              0.47              1.83        1000
4                       1.15              0.46              1.83        1000
8                       1.15              0.48              1.81        1000
16                      1.16              0.48              1.83        1000
32                      1.32              0.53              2.17        1000
64                      1.32              0.54              2.16        1000
128                     2.04              0.57              3.20        1000
256                     1.98              0.59              3.22        1000
512                     2.16              0.69              3.51        1000
1024                    2.33              0.67              3.80        1000
2048                    3.01              0.78              4.88        1000
4096                    4.11              0.96              6.54        1000
8192                    6.74              1.29             10.71        1000
16384                  15.63              7.96             22.39        1000
32768                  23.85             11.80             34.58        1000
65536                  44.32             24.34             62.59        1000
131072                 87.75             51.73            120.44        1000
262144                168.61             93.46            225.41        1000
524288                377.80            204.80            493.30        1000
1048576               765.20            406.61            997.45        1000
====================
Processes: 32

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       1.96              0.53              3.36        1000
2                       1.93              0.54              3.29        1000
4                       1.86              0.51              3.11        1000
8                       1.81              0.50              3.11        1000
16                      1.84              0.50              3.12        1000
32                      2.09              0.54              3.62        1000
64                      2.14              0.55              3.61        1000
128                     2.85              0.65              4.70        1000
256                     2.88              0.62              4.81        1000
512                     3.11              0.67              5.19        1000
1024                    3.41              0.64              5.79        1000
2048                    4.43              0.77              7.55        1000
4096                    5.92              0.98             10.08        1000
8192                    9.39              1.36             16.29        1000
16384                  29.78              9.49             44.12        1000
32768                  40.07             13.58             61.86        1000
65536                  66.62             24.25            102.79        1000
131072                125.85             49.10            190.79        1000
262144                262.07            106.14            387.47        1000
524288                511.69            210.46            742.70        1000
1048576               996.50            399.08           1458.79        1000
